Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.778E+03,9.094E-03,8.155E-04,0.000E+00,5.729E-05,8.727E-04
2.780E+03,3.206E-03,8.880E-04,0.000E+00,6.325E-05,9.513E-04
2.781E+03,2.066E-03,9.295E-04,0.000E+00,6.671E-05,9.962E-04
2.782E+03,-9.209E-04,9.730E-04,0.000E+00,7.038E-05,1.043E-03
2.783E+03,5.514E-04,1.021E-03,0.000E+00,7.445E-05,1.095E-03
2.784E+03,-8.801E-04,1.071E-03,0.000E+00,7.883E-05,1.150E-03
2.785E+03,-1.030E-03,1.125E-03,0.000E+00,8.357E-05,1.209E-03
2.786E+03,2.133E-03,1.184E-03,0.000E+00,8.879E-05,1.273E-03
2.787E+03,3.800E-03,1.248E-03,0.000E+00,9.459E-05,1.343E-03
2.788E+03,8.729E-04,1.316E-03,1.354E-18,1.008E-04,1.417E-03
2.789E+03,-1.945E-03,1.392E-03,1.354E-17,1.079E-04,1.500E-03
2.790E+03,1.368E-03,1.473E-03,9.004E-17,1.156E-04,1.589E-03
2.791E+03,-2.797E-03,1.561E-03,5.348E-16,1.241E-04,1.686E-03
2.792E+03,-2.796E-03,1.657E-03,2.958E-15,1.336E-04,1.791E-03
2.793E+03,3.246E-04,1.763E-03,1.593E-14,1.443E-04,1.907E-03
2.794E+03,1.850E-03,1.880E-03,8.384E-14,1.565E-04,2.037E-03
2.795E+03,-3.666E-05,2.009E-03,4.172E-13,1.701E-04,2.179E-03
2.796E+03,-1.537E-03,2.149E-03,1.967E-12,1.854E-04,2.334E-03
2.797E+03,-3.735E-03,2.306E-03,9.070E-12,2.030E-04,2.509E-03
2.798E+03,1.613E-03,2.481E-03,4.027E-11,2.233E-04,2.705E-03
2.799E+03,3.297E-04,2.677E-03,1.721E-10,2.468E-04,2.924E-03
2.800E+03,-2.032E-03,2.897E-03,7.080E-10,2.743E-04,3.171E-03
2.801E+03,-2.094E-03,3.148E-03,2.840E-09,3.068E-04,3.455E-03
2.802E+03,-3.030E-04,3.429E-03,1.079E-08,3.452E-04,3.775E-03
2.803E+03,-4.142E-03,3.747E-03,3.887E-08,3.906E-04,4.138E-03
2.804E+03,-1.735E-03,4.115E-03,1.360E-07,4.463E-04,4.561E-03
2.805E+03,-1.493E-03,4.539E-03,4.554E-07,5.147E-04,5.054E-03
2.806E+03,-2.187E-03,5.032E-03,1.457E-06,6.001E-04,5.633E-03
2.807E+03,-3.502E-03,5.610E-03,4.453E-06,7.085E-04,6.323E-03
2.808E+03,-5.084E-04,6.300E-03,1.311E-05,8.507E-04,7.163E-03
2.809E+03,-1.432E-03,7.115E-03,3.633E-05,1.038E-03,8.190E-03
2.810E+03,-3.242E-03,8.089E-03,9.492E-05,1.291E-03,9.475E-03
2.811E+03,-3.045E-03,9.288E-03,2.381E-04,1.652E-03,1.118E-02
2.812E+03,5.197E-04,1.079E-02,5.723E-04,2.194E-03,1.355E-02
2.813E+03,-1.120E-03,1.264E-02,1.284E-03,3.026E-03,1.695E-02
2.814E+03,1.280E-03,1.505E-02,2.781E-03,4.481E-03,2.232E-02
2.814E+03,4.308E-03,1.544E-02,3.082E-03,4.771E-03,2.330E-02
2.814E+03,4.636E-04,1.588E-02,3.437E-03,5.123E-03,2.444E-02
2.814E+03,4.037E-03,1.636E-02,3.856E-03,5.556E-03,2.577E-02
2.815E+03,5.105E-03,1.683E-02,4.290E-03,6.034E-03,2.715E-02
2.815E+03,4.125E-03,1.729E-02,4.735E-03,6.562E-03,2.858E-02
2.815E+03,5.327E-03,1.780E-02,5.256E-03,7.246E-03,3.030E-02
2.815E+03,6.412E-03,1.833E-02,5.828E-03,8.093E-03,3.225E-02
2.815E+03,6.850E-03,1.893E-02,6.498E-03,9.238E-03,3.467E-02
2.815E+03,1.069E-02,1.952E-02,7.187E-03,1.062E-02,3.732E-02
2.815E+03,1.123E-02,2.013E-02,7.940E-03,1.238E-02,4.045E-02
2.816E+03,1.530E-02,2.073E-02,8.706E-03,1.448E-02,4.391E-02
2.816E+03,1.703E-02,2.140E-02,9.596E-03,1.733E-02,4.833E-02
2.816E+03,2.112E-02,2.210E-02,1.057E-02,2.096E-02,5.363E-02
2.816E+03,2.294E-02,2.284E-02,1.162E-02,2.554E-02,6.000E-02
2.816E+03,3.508E-02,2.367E-02,1.284E-02,3.165E-02,6.817E-02
2.816E+03,4.697E-02,2.450E-02,1.409E-02,3.870E-02,7.728E-02
2.817E+03,6.502E-02,2.536E-02,1.544E-02,4.716E-02,8.796E-02
2.817E+03,8.409E-02,2.628E-02,1.691E-02,5.712E-02,1.003E-01
2.817E+03,1.123E-01,2.724E-02,1.848E-02,6.861E-02,1.143E-01
2.817E+03,1.358E-01,2.827E-02,2.019E-02,8.156E-02,1.300E-01
2.817E+03,1.517E-01,2.936E-02,2.202E-02,9.580E-02,1.472E-01
2.817E+03,1.792E-01,3.044E-02,2.386E-02,1.100E-01,1.643E-01
2.817E+03,1.969E-01,3.167E-02,2.597E-02,1.258E-01,1.835E-01
2.818E+03,2.156E-01,3.300E-02,2.823E-02,1.417E-01,2.029E-01
2.818E+03,2.246E-01,3.443E-02,3.066E-02,1.569E-01,2.220E-01
2.818E+03,2.450E-01,3.599E-02,3.325E-02,1.707E-01,2.399E-01
2.818E+03,2.611E-01,3.768E-02,3.603E-02,1.821E-01,2.558E-01
2.818E+03,2.709E-01,3.954E-02,3.899E-02,1.903E-01,2.689E-01
2.818E+03,2.774E-01,4.160E-02,4.215E-02,1.945E-01,2.782E-01
2.818E+03,2.859E-01,4.405E-02,4.574E-02,1.941E-01,2.839E-01
2.819E+03,2.826E-01,4.663E-02,4.934E-02,1.892E-01,2.852E-01
2.819E+03,2.726E-01,4.954E-02,5.315E-02,1.804E-01,2.831E-01
2.819E+03,2.616E-01,5.285E-02,5.719E-02,1.685E-01,2.786E-01
2.819E+03,2.569E-01,5.664E-02,6.147E-02,1.544E-01,2.725E-01
2.819E+03,2.560E-01,6.099E-02,6.600E-02,1.390E-01,2.660E-01
2.819E+03,2.528E-01,6.601E-02,7.079E-02,1.231E-01,2.599E-01
2.820E+03,2.611E-01,7.182E-02,7.584E-02,1.074E-01,2.550E-01
2.820E+03,2.621E-01,7.809E-02,8.079E-02,9.330E-02,2.522E-01
2.820E+03,2.739E-01,8.585E-02,8.637E-02,7.926E-02,2.515E-01
2.820E+03,2.740E-01,9.486E-02,9.223E-02,6.654E-02,2.536E-01
2.820E+03,2.905E-01,1.061E-01,9.880E-02,5.461E-02,2.595E-01
2.820E+03,3.113E-01,1.183E-01,1.053E-01,4.501E-02,2.686E-01
2.820E+03,3.212E-01,1.325E-01,1.120E-01,3.689E-02,2.814E-01
2.821E+03,3.463E-01,1.488E-01,1.191E-01,3.016E-02,2.981E-01
2.821E+03,3.484E-01,1.662E-01,1.260E-01,2.501E-02,3.172E-01
2.821E+03,3.566E-01,1.874E-01,1.337E-01,2.054E-02,3.416E-01
2.821E+03,3.749E-01,2.132E-01,1.422E-01,1.679E-02,3.722E-01
2.821E+03,3.972E-01,2.406E-01,1.505E-01,1.405E-02,4.052E-01
2.821E+03,4.186E-01,2.714E-01,1.592E-01,1.192E-02,4.425E-01
2.821E+03,4.620E-01,3.033E-01,1.675E-01,1.035E-02,4.812E-01
2.822E+03,4.988E-01,3.437E-01,1.775E-01,8.955E-03,5.301E-01
2.822E+03,5.489E-01,3.854E-01,1.871E-01,7.933E-03,5.804E-01
2.822E+03,5.983E-01,4.310E-01,1.970E-01,7.118E-03,6.351E-01
2.822E+03,6.579E-01,4.768E-01,2.065E-01,6.497E-03,6.899E-01
2.822E+03,7.131E-01,5.331E-01,2.178E-01,5.912E-03,7.568E-01
2.822E+03,7.726E-01,5.892E-01,2.286E-01,5.453E-03,8.233E-01
2.823E+03,8.779E-01,6.444E-01,2.391E-01,5.084E-03,8.885E-01
2.823E+03,9.697E-01,7.060E-01,2.505E-01,4.737E-03,9.612E-01
2.823E+03,1.100E+00,7.740E-01,2.630E-01,4.411E-03,1.041E+00
2.823E+03,1.217E+00,8.390E-01,2.750E-01,4.139E-03,1.118E+00
2.823E+03,1.327E+00,9.002E-01,2.864E-01,3.909E-03,1.191E+00
2.823E+03,1.443E+00,9.697E-01,2.998E-01,3.670E-03,1.273E+00
2.823E+03,1.525E+00,1.033E+00,3.126E-01,3.466E-03,1.349E+00
2.824E+03,1.561E+00,1.090E+00,3.247E-01,3.291E-03,1.418E+00
2.824E+03,1.624E+00,1.151E+00,3.388E-01,3.106E-03,1.493E+00
2.824E+03,1.642E+00,1.199E+00,3.513E-01,2.957E-03,1.554E+00
2.824E+03,1.672E+00,1.245E+00,3.649E-01,2.809E-03,1.613E+00
2.824E+03,1.694E+00,1.284E+00,3.796E-01,2.662E-03,1.667E+00
2.824E+03,1.711E+00,1.311E+00,3.926E-01,2.543E-03,1.706E+00
2.824E+03,1.719E+00,1.329E+00,4.076E-01,2.417E-03,1.739E+00
2.825E+03,1.713E+00,1.336E+00,4.208E-01,2.314E-03,1.759E+00
2.825E+03,1.716E+00,1.331E+00,4.361E-01,2.203E-03,1.770E+00
2.825E+03,1.738E+00,1.316E+00,4.504E-01,2.107E-03,1.769E+00
2.825E+03,1.720E+00,1.292E+00,4.639E-01,2.023E-03,1.758E+00
2.825E+03,1.726E+00,1.255E+00,4.794E-01,1.932E-03,1.736E+00
2.825E+03,1.673E+00,1.215E+00,4.929E-01,1.858E-03,1.709E+00
