Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.779E+03,3.033E-03,1.000E-04,0.000E+00,2.183E-05,1.219E-04
2.780E+03,-3.456E-03,1.045E-04,0.000E+00,2.296E-05,1.275E-04
2.781E+03,-3.312E-03,1.095E-04,0.000E+00,2.421E-05,1.337E-04
2.782E+03,7.952E-03,1.146E-04,0.000E+00,2.553E-05,1.402E-04
2.783E+03,3.191E-03,1.203E-04,0.000E+00,2.699E-05,1.473E-04
2.784E+03,-5.291E-04,1.263E-04,7.930E-19,2.857E-05,1.549E-04
2.785E+03,-8.572E-03,1.327E-04,6.344E-18,3.027E-05,1.630E-04
2.786E+03,-2.270E-04,1.397E-04,3.331E-17,3.215E-05,1.718E-04
2.787E+03,6.674E-03,1.473E-04,1.713E-16,3.422E-05,1.815E-04
2.788E+03,-3.411E-03,1.554E-04,7.986E-16,3.646E-05,1.919E-04
2.789E+03,-2.057E-03,1.644E-04,3.695E-15,3.898E-05,2.033E-04
2.790E+03,3.139E-03,1.740E-04,1.629E-14,4.174E-05,2.158E-04
2.791E+03,-1.644E-03,1.846E-04,6.943E-14,4.480E-05,2.294E-04
2.792E+03,-2.176E-03,1.960E-04,2.821E-13,4.818E-05,2.441E-04
2.793E+03,-6.460E-05,2.086E-04,1.125E-12,5.199E-05,2.606E-04
2.794E+03,-3.929E-04,2.226E-04,4.394E-12,5.632E-05,2.789E-04
2.795E+03,2.499E-03,2.379E-04,1.637E-11,6.116E-05,2.991E-04
2.796E+03,3.754E-03,2.547E-04,5.825E-11,6.659E-05,3.213E-04
2.797E+03,3.374E-03,2.735E-04,2.030E-10,7.285E-05,3.463E-04
2.798E+03,5.878E-04,2.945E-04,6.836E-10,8.003E-05,3.745E-04
2.799E+03,-2.422E-03,3.179E-04,2.225E-09,8.832E-05,4.063E-04
2.800E+03,-5.015E-03,3.443E-04,6.996E-09,9.798E-05,4.423E-04
2.801E+03,-2.157E-03,3.744E-04,2.149E-08,1.094E-04,4.839E-04
2.802E+03,1.114E-03,4.082E-04,6.303E-08,1.229E-04,5.312E-04
2.803E+03,-4.546E-05,4.465E-04,1.768E-07,1.387E-04,5.854E-04
2.804E+03,1.412E-03,4.908E-04,4.845E-07,1.581E-04,6.494E-04
2.805E+03,-1.920E-03,5.419E-04,1.284E-06,1.819E-04,7.251E-04
2.806E+03,6.589E-03,6.015E-04,3.290E-06,2.114E-04,8.162E-04
