Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Sum of components (normalized)
2778.02,-4.749E-03,1.510E-03,0.000E+00,1.510E-03
2779.97,-1.711E-02,1.645E-03,2.082E-18,1.645E-03
2780.98,-3.677E-05,1.723E-03,9.021E-18,1.723E-03
2781.97,1.004E-02,1.804E-03,3.331E-17,1.804E-03
2782.98,4.682E-03,1.893E-03,1.249E-16,1.893E-03
2783.98,1.176E-02,1.988E-03,4.503E-16,1.988E-03
2784.97,-1.682E-02,2.090E-03,1.563E-15,2.090E-03
2785.97,-3.180E-03,2.200E-03,5.347E-15,2.200E-03
2786.98,9.242E-03,2.320E-03,1.801E-14,2.320E-03
2787.97,-2.931E-03,2.448E-03,5.779E-14,2.448E-03
2788.98,3.738E-03,2.590E-03,1.851E-13,2.590E-03
2789.98,-1.397E-02,2.743E-03,5.719E-13,2.743E-03
2790.98,8.122E-03,2.909E-03,1.727E-12,2.909E-03
2791.97,-6.850E-03,3.090E-03,5.047E-12,3.090E-03
2792.97,-1.001E-04,3.289E-03,1.461E-11,3.289E-03
2793.98,-4.004E-03,3.511E-03,4.190E-11,3.511E-03
2794.98,-8.724E-03,3.754E-03,1.169E-10,3.754E-03
2795.97,7.312E-03,4.019E-03,3.179E-10,4.019E-03
2796.97,-9.934E-03,4.317E-03,8.612E-10,4.317E-03
2797.97,5.011E-03,4.649E-03,2.304E-09,4.649E-03
2798.97,-1.907E-03,5.021E-03,6.095E-09,5.021E-03
2799.97,1.297E-02,5.438E-03,1.595E-08,5.438E-03
2800.98,4.661E-04,5.915E-03,4.169E-08,5.915E-03
2801.98,3.500E-03,6.452E-03,1.067E-07,6.452E-03
2802.97,1.662E-03,7.057E-03,2.675E-07,7.058E-03
2803.97,-1.006E-02,7.760E-03,6.675E-07,7.760E-03
2804.97,1.347E-03,8.571E-03,1.641E-06,8.573E-03
2805.97,-1.495E-02,9.516E-03,3.966E-06,9.520E-03
2806.97,1.478E-02,1.062E-02,9.407E-06,1.063E-02
2807.98,6.973E-03,1.195E-02,2.205E-05,1.197E-02
2808.98,6.018E-03,1.352E-02,5.009E-05,1.357E-02
2809.97,-7.572E-03,1.539E-02,1.102E-04,1.550E-02
2810.97,3.127E-03,1.770E-02,2.381E-04,1.794E-02
2811.98,1.447E-03,2.060E-02,5.036E-04,2.111E-02
2812.97,-6.727E-03,2.421E-02,1.019E-03,2.523E-02
2813.98,1.489E-02,2.907E-02,2.024E-03,3.110E-02
2814.12,1.958E-02,2.989E-02,2.220E-03,3.211E-02
2814.27,2.063E-02,3.080E-02,2.449E-03,3.325E-02
2814.43,1.390E-02,3.184E-02,2.718E-03,3.456E-02
2814.58,8.914E-04,3.288E-02,2.994E-03,3.587E-02
2814.72,8.256E-03,3.391E-02,3.274E-03,3.718E-02
2814.87,2.272E-02,3.509E-02,3.601E-03,3.869E-02
2815.02,6.410E-03,3.635E-02,3.958E-03,4.031E-02
2815.18,2.788E-02,3.780E-02,4.373E-03,4.218E-02
2815.33,1.867E-02,3.928E-02,4.798E-03,4.408E-02
2815.48,1.831E-02,4.088E-02,5.260E-03,4.614E-02
2815.62,2.771E-02,4.251E-02,5.727E-03,4.823E-02
2815.77,6.968E-03,4.440E-02,6.269E-03,5.066E-02
2815.92,1.002E-02,4.646E-02,6.856E-03,5.332E-02
2816.07,2.155E-02,4.874E-02,7.493E-03,5.623E-02
2816.23,2.215E-02,5.141E-02,8.229E-03,5.964E-02
2816.38,1.597E-02,5.418E-02,8.977E-03,6.316E-02
2816.53,1.835E-02,5.725E-02,9.785E-03,6.703E-02
2816.68,3.672E-02,6.064E-02,1.066E-02,7.130E-02
2816.83,1.680E-02,6.440E-02,1.160E-02,7.600E-02
2816.98,3.157E-02,6.857E-02,1.261E-02,8.118E-02
2817.13,2.787E-02,7.320E-02,1.370E-02,8.690E-02
2817.27,2.710E-02,7.798E-02,1.479E-02,9.276E-02
2817.42,3.953E-02,8.364E-02,1.604E-02,9.968E-02
2817.57,3.458E-02,8.992E-02,1.738E-02,1.073E-01
2817.72,3.573E-02,9.688E-02,1.881E-02,1.157E-01
2817.87,5.818E-02,1.046E-01,2.035E-02,1.249E-01
2818.02,6.506E-02,1.131E-01,2.199E-02,1.351E-01
2818.17,7.853E-02,1.225E-01,2.375E-02,1.463E-01
2818.32,7.883E-02,1.329E-01,2.563E-02,1.585E-01
2818.48,8.899E-02,1.451E-01,2.776E-02,1.728E-01
2818.63,9.814E-02,1.577E-01,2.990E-02,1.876E-01
2818.78,1.184E-01,1.714E-01,3.217E-02,2.036E-01
2818.93,1.296E-01,1.865E-01,3.459E-02,2.210E-01
2819.08,1.457E-01,2.028E-01,3.715E-02,2.400E-01
2819.23,1.583E-01,2.205E-01,3.987E-02,2.604E-01
2819.38,1.818E-01,2.397E-01,4.275E-02,2.825E-01
2819.53,2.209E-01,2.604E-01,4.580E-02,3.062E-01
2819.67,2.427E-01,2.811E-01,4.881E-02,3.299E-01
2819.82,2.684E-01,3.048E-01,5.220E-02,3.570E-01
2819.97,3.391E-01,3.302E-01,5.577E-02,3.859E-01
2820.13,3.619E-01,3.589E-01,5.980E-02,4.187E-01
2820.28,4.370E-01,3.875E-01,6.378E-02,4.513E-01
2820.43,5.197E-01,4.177E-01,6.797E-02,4.857E-01
2820.58,6.006E-01,4.494E-01,7.237E-02,5.218E-01
2820.72,6.732E-01,4.804E-01,7.667E-02,5.570E-01
2820.87,7.316E-01,5.148E-01,8.149E-02,5.963E-01
2821.03,8.019E-01,5.530E-01,8.689E-02,6.399E-01
2821.18,8.690E-01,5.901E-01,9.218E-02,6.822E-01
2821.33,9.436E-01,6.281E-01,9.772E-02,7.258E-01
2821.47,9.920E-01,6.643E-01,1.031E-01,7.674E-01
2821.63,1.047E+00,7.064E-01,1.095E-01,8.159E-01
2821.78,1.101E+00,7.463E-01,1.158E-01,8.620E-01
2821.93,1.146E+00,7.863E-01,1.223E-01,9.086E-01
2822.07,1.205E+00,8.235E-01,1.286E-01,9.522E-01
2822.23,1.195E+00,8.657E-01,1.361E-01,1.002E+00
2822.38,1.232E+00,9.044E-01,1.434E-01,1.048E+00
2822.52,1.266E+00,9.395E-01,1.504E-01,1.090E+00
2822.67,1.284E+00,9.757E-01,1.582E-01,1.134E+00
2822.83,1.284E+00,1.012E+00,1.668E-01,1.179E+00
2822.98,1.307E+00,1.044E+00,1.751E-01,1.219E+00
2823.12,1.330E+00,1.072E+00,1.832E-01,1.255E+00
2823.28,1.368E+00,1.100E+00,1.926E-01,1.292E+00
2823.43,1.363E+00,1.123E+00,2.017E-01,1.324E+00
2823.57,1.387E+00,1.140E+00,2.104E-01,1.351E+00
2823.73,1.364E+00,1.156E+00,2.206E-01,1.377E+00
2823.87,1.415E+00,1.166E+00,2.298E-01,1.396E+00
2824.02,1.409E+00,1.172E+00,2.399E-01,1.412E+00
2824.18,1.422E+00,1.174E+00,2.509E-01,1.425E+00
2824.32,1.387E+00,1.171E+00,2.607E-01,1.431E+00
2824.48,1.391E+00,1.162E+00,2.722E-01,1.434E+00
2824.62,1.385E+00,1.151E+00,2.824E-01,1.433E+00
2824.78,1.377E+00,1.133E+00,2.944E-01,1.427E+00
2824.93,1.365E+00,1.112E+00,3.057E-01,1.418E+00
2825.07,1.368E+00,1.089E+00,3.165E-01,1.406E+00
2825.23,1.395E+00,1.060E+00,3.291E-01,1.389E+00
2825.37,1.347E+00,1.031E+00,3.402E-01,1.371E+00
2825.53,1.324E+00,9.959E-01,3.530E-01,1.349E+00
2825.67,1.308E+00,9.630E-01,3.644E-01,1.327E+00
2825.83,1.275E+00,9.237E-01,3.776E-01,1.301E+00
2825.97,1.251E+00,8.880E-01,3.892E-01,1.277E+00
2826.13,1.239E+00,8.462E-01,4.026E-01,1.249E+00
2826.27,1.209E+00,8.091E-01,4.145E-01,1.224E+00
2826.43,1.204E+00,7.663E-01,4.281E-01,1.194E+00
2826.57,1.159E+00,7.289E-01,4.400E-01,1.169E+00
2826.72,1.119E+00,6.891E-01,4.529E-01,1.142E+00
2826.88,1.125E+00,6.472E-01,4.667E-01,1.114E+00
2827.02,1.100E+00,6.112E-01,4.788E-01,1.090E+00
2827.18,1.104E+00,5.711E-01,4.926E-01,1.064E+00
2827.32,1.072E+00,5.369E-01,5.047E-01,1.042E+00
2827.48,1.027E+00,4.992E-01,5.185E-01,1.018E+00
2827.63,1.025E+00,4.653E-01,5.314E-01,9.967E-01
2827.77,1.022E+00,4.349E-01,5.434E-01,9.783E-01
2827.93,9.908E-01,4.017E-01,5.571E-01,9.588E-01
2828.07,9.669E-01,3.742E-01,5.690E-01,9.432E-01
2828.22,9.670E-01,3.462E-01,5.816E-01,9.279E-01
2828.38,9.235E-01,3.182E-01,5.951E-01,9.132E-01
2828.52,9.494E-01,2.951E-01,6.067E-01,9.018E-01
2828.67,9.452E-01,2.720E-01,6.190E-01,8.910E-01
2828.83,9.298E-01,2.490E-01,6.321E-01,8.811E-01
2828.97,9.363E-01,2.304E-01,6.433E-01,8.737E-01
2829.12,8.989E-01,2.118E-01,6.553E-01,8.671E-01
2829.28,9.071E-01,1.936E-01,6.678E-01,8.614E-01
2829.43,9.036E-01,1.779E-01,6.794E-01,8.573E-01
2829.57,9.131E-01,1.645E-01,6.900E-01,8.545E-01
2829.72,8.817E-01,1.513E-01,7.013E-01,8.525E-01
2829.88,8.926E-01,1.385E-01,7.130E-01,8.515E-01
2830.03,8.897E-01,1.276E-01,7.238E-01,8.514E-01
2830.17,8.893E-01,1.183E-01,7.337E-01,8.520E-01
2830.32,8.616E-01,1.092E-01,7.441E-01,8.533E-01
2830.48,8.577E-01,1.006E-01,7.549E-01,8.554E-01
2830.63,8.598E-01,9.322E-02,7.648E-01,8.580E-01
2830.77,8.699E-01,8.702E-02,7.738E-01,8.608E-01
2830.92,8.450E-01,8.101E-02,7.833E-01,8.643E-01
2831.07,8.446E-01,7.560E-02,7.925E-01,8.681E-01
2831.23,8.494E-01,7.042E-02,8.020E-01,8.725E-01
2831.38,8.668E-01,6.606E-02,8.107E-01,8.768E-01
2831.53,8.627E-01,6.213E-02,8.192E-01,8.813E-01
2831.68,8.544E-01,5.859E-02,8.274E-01,8.860E-01
2831.82,8.522E-01,5.560E-02,8.348E-01,8.904E-01
2831.97,8.718E-01,5.269E-02,8.425E-01,8.952E-01
2832.12,8.623E-01,5.006E-02,8.500E-01,9.000E-01
2832.27,8.554E-01,4.767E-02,8.572E-01,9.049E-01
2832.43,8.686E-01,4.536E-02,8.646E-01,9.100E-01
2832.58,8.686E-01,4.339E-02,8.713E-01,9.147E-01
2832.73,8.800E-01,4.159E-02,8.778E-01,9.194E-01
2832.88,8.831E-01,3.993E-02,8.840E-01,9.239E-01
2833.03,8.880E-01,3.841E-02,8.900E-01,9.284E-01
2833.18,8.747E-01,3.700E-02,8.958E-01,9.328E-01
2833.33,8.937E-01,3.569E-02,9.013E-01,9.370E-01
2833.48,8.985E-01,3.448E-02,9.066E-01,9.411E-01
2833.63,9.054E-01,3.334E-02,9.117E-01,9.450E-01
2833.78,9.062E-01,3.228E-02,9.165E-01,9.488E-01
2833.93,8.868E-01,3.128E-02,9.212E-01,9.525E-01
2834.08,9.065E-01,3.034E-02,9.256E-01,9.560E-01
2834.23,9.128E-01,2.945E-02,9.299E-01,9.593E-01
2834.38,9.320E-01,2.861E-02,9.339E-01,9.625E-01
2834.53,9.423E-01,2.780E-02,9.378E-01,9.656E-01
2834.68,9.181E-01,2.704E-02,9.415E-01,9.685E-01
2834.83,9.311E-01,2.632E-02,9.450E-01,9.713E-01
2834.98,9.392E-01,2.562E-02,9.483E-01,9.739E-01
2835.13,9.497E-01,2.496E-02,9.515E-01,9.764E-01
2835.28,9.466E-01,2.432E-02,9.545E-01,9.788E-01
2835.43,9.771E-01,2.371E-02,9.573E-01,9.810E-01
2835.57,9.567E-01,2.316E-02,9.598E-01,9.830E-01
2835.72,9.811E-01,2.259E-02,9.624E-01,9.850E-01
2835.87,9.766E-01,2.205E-02,9.648E-01,9.869E-01
2836.02,9.943E-01,2.152E-02,9.671E-01,9.886E-01
2836.18,9.733E-01,2.098E-02,9.694E-01,9.904E-01
2836.33,9.871E-01,2.050E-02,9.714E-01,9.919E-01
2836.48,9.735E-01,2.003E-02,9.734E-01,9.934E-01
2836.62,1.001E+00,1.960E-02,9.750E-01,9.946E-01
2836.77,1.001E+00,1.916E-02,9.767E-01,9.959E-01
2836.92,1.002E+00,1.874E-02,9.783E-01,9.971E-01
2837.08,9.822E-01,1.830E-02,9.800E-01,9.983E-01
2837.23,1.029E+00,1.790E-02,9.814E-01,9.993E-01
2837.38,1.010E+00,1.752E-02,9.827E-01,1.000E+00
2837.52,1.071E+00,1.717E-02,9.838E-01,1.001E+00
2837.68,1.006E+00,1.678E-02,9.851E-01,1.002E+00
2837.83,1.022E+00,1.643E-02,9.862E-01,1.003E+00
2837.98,1.047E+00,1.610E-02,9.872E-01,1.003E+00
2838.12,1.064E+00,1.579E-02,9.881E-01,1.004E+00
2838.27,1.048E+00,1.547E-02,9.889E-01,1.004E+00
2838.43,1.053E+00,1.514E-02,9.898E-01,1.005E+00
2838.58,1.052E+00,1.484E-02,9.906E-01,1.005E+00
2838.72,1.071E+00,1.457E-02,9.913E-01,1.006E+00
2838.88,1.069E+00,1.426E-02,9.920E-01,1.006E+00
2839.03,1.067E+00,1.399E-02,9.926E-01,1.007E+00
2839.17,1.048E+00,1.374E-02,9.931E-01,1.007E+00
2839.33,1.060E+00,1.346E-02,9.937E-01,1.007E+00
2839.48,1.084E+00,1.321E-02,9.942E-01,1.007E+00
2839.62,1.084E+00,1.298E-02,9.946E-01,1.008E+00
2839.78,1.053E+00,1.272E-02,9.951E-01,1.008E+00
2839.93,1.073E+00,1.249E-02,9.955E-01,1.008E+00
2840.07,1.046E+00,1.228E-02,9.958E-01,1.008E+00
2840.23,1.066E+00,1.205E-02,9.962E-01,1.008E+00
2840.37,1.069E+00,1.185E-02,9.965E-01,1.008E+00
2840.53,1.071E+00,1.162E-02,9.968E-01,1.008E+00
2840.68,1.040E+00,1.142E-02,9.971E-01,1.008E+00
2840.82,1.076E+00,1.123E-02,9.973E-01,1.009E+00
2840.98,1.057E+00,1.103E-02,9.975E-01,1.009E+00
2841.98,1.041E+00,9.858E-03,9.986E-01,1.009E+00
2842.98,1.038E+00,8.864E-03,9.993E-01,1.008E+00
2843.97,1.032E+00,8.020E-03,9.996E-01,1.008E+00
2844.97,1.030E+00,7.283E-03,9.998E-01,1.007E+00
2845.98,1.048E+00,6.637E-03,9.999E-01,1.007E+00
2846.97,1.054E+00,6.083E-03,9.999E-01,1.006E+00
2847.97,1.010E+00,5.591E-03,1.000E+00,1.006E+00
2848.98,1.044E+00,5.152E-03,1.000E+00,1.005E+00
2849.98,1.046E+00,4.766E-03,1.000E+00,1.005E+00
2850.97,1.019E+00,4.425E-03,1.000E+00,1.004E+00
2851.97,1.072E+00,4.116E-03,1.000E+00,1.004E+00
2852.97,1.053E+00,3.838E-03,1.000E+00,1.004E+00
2853.98,1.039E+00,3.585E-03,1.000E+00,1.004E+00
2854.98,1.032E+00,3.359E-03,1.000E+00,1.003E+00
2855.98,1.060E+00,3.153E-03,1.000E+00,1.003E+00
2856.98,1.025E+00,2.965E-03,1.000E+00,1.003E+00
2857.98,1.049E+00,2.794E-03,1.000E+00,1.003E+00
2858.97,1.034E+00,2.638E-03,1.000E+00,1.003E+00
2859.97,1.050E+00,2.494E-03,1.000E+00,1.002E+00
2860.98,1.031E+00,2.360E-03,1.000E+00,1.002E+00
2861.97,1.021E+00,2.239E-03,1.000E+00,1.002E+00
2862.97,1.022E+00,2.126E-03,1.000E+00,1.002E+00
2863.98,1.042E+00,2.020E-03,1.000E+00,1.002E+00
2864.98,1.045E+00,1.923E-03,1.000E+00,1.002E+00
2865.98,1.050E+00,1.832E-03,1.000E+00,1.002E+00
2866.97,1.032E+00,1.749E-03,1.000E+00,1.002E+00
2867.97,1.003E+00,1.671E-03,1.000E+00,1.002E+00
2868.98,1.035E+00,1.596E-03,1.000E+00,1.002E+00
2869.97,1.047E+00,1.529E-03,1.000E+00,1.002E+00
2870.98,1.044E+00,1.464E-03,1.000E+00,1.001E+00
2871.97,1.021E+00,1.404E-03,1.000E+00,1.001E+00
2872.97,1.032E+00,1.347E-03,1.000E+00,1.001E+00
2873.97,9.980E-01,1.294E-03,1.000E+00,1.001E+00
2874.98,1.036E+00,1.243E-03,1.000E+00,1.001E+00
