Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.778E+03,-3.470E-05,1.163E-03,0.000E+00,3.434E-05,1.197E-03
2.780E+03,-1.499E-03,1.267E-03,6.237E-19,3.790E-05,1.304E-03
2.781E+03,6.532E-04,1.326E-03,8.108E-18,3.997E-05,1.366E-03
2.782E+03,7.133E-04,1.388E-03,4.117E-17,4.216E-05,1.430E-03
2.783E+03,-7.445E-04,1.456E-03,1.927E-16,4.458E-05,1.500E-03
2.784E+03,8.635E-05,1.528E-03,8.663E-16,4.720E-05,1.575E-03
2.785E+03,2.283E-03,1.605E-03,3.668E-15,5.002E-05,1.655E-03
2.786E+03,-6.772E-04,1.689E-03,1.524E-14,5.314E-05,1.742E-03
2.787E+03,1.270E-03,1.780E-03,6.218E-14,5.659E-05,1.837E-03
2.788E+03,1.548E-03,1.878E-03,2.392E-13,6.031E-05,1.938E-03
2.789E+03,1.709E-03,1.985E-03,9.168E-13,6.450E-05,2.050E-03
2.790E+03,-3.734E-04,2.101E-03,3.362E-12,6.909E-05,2.170E-03
2.791E+03,-2.548E-03,2.227E-03,1.196E-11,7.419E-05,2.301E-03
2.792E+03,-7.658E-04,2.364E-03,4.077E-11,7.982E-05,2.443E-03
2.793E+03,2.451E-04,2.514E-03,1.366E-10,8.618E-05,2.601E-03
2.794E+03,-1.592E-03,2.682E-03,4.498E-10,9.340E-05,2.775E-03
2.795E+03,-1.287E-03,2.865E-03,1.421E-09,1.015E-04,2.967E-03
2.796E+03,1.053E-03,3.065E-03,4.310E-09,1.106E-04,3.176E-03
2.797E+03,1.203E-03,3.289E-03,1.284E-08,1.210E-04,3.410E-03
2.798E+03,-1.164E-03,3.539E-03,3.717E-08,1.331E-04,3.672E-03
2.799E+03,-4.353E-04,3.818E-03,1.045E-07,1.470E-04,3.965E-03
2.800E+03,4.368E-04,4.132E-03,2.851E-07,1.632E-04,4.295E-03
2.801E+03,-5.428E-04,4.489E-03,7.622E-07,1.825E-04,4.672E-03
2.802E+03,-1.594E-03,4.890E-03,1.958E-06,2.052E-04,5.097E-03
2.803E+03,-1.106E-03,5.342E-03,4.834E-06,2.320E-04,5.579E-03
2.804E+03,-1.277E-03,5.866E-03,1.168E-05,2.649E-04,6.142E-03
2.805E+03,-8.248E-04,6.470E-03,2.733E-05,3.052E-04,6.802E-03
2.806E+03,-9.162E-04,7.171E-03,6.193E-05,3.555E-04,7.589E-03
2.807E+03,-7.106E-04,7.993E-03,1.358E-04,4.193E-04,8.548E-03
2.808E+03,4.686E-04,8.973E-03,2.903E-04,5.029E-04,9.766E-03
2.809E+03,-4.548E-04,1.013E-02,5.952E-04,6.130E-04,1.134E-02
2.810E+03,-4.314E-04,1.151E-02,1.171E-03,7.617E-04,1.345E-02
2.811E+03,1.839E-03,1.321E-02,2.242E-03,9.741E-04,1.643E-02
2.812E+03,2.786E-03,1.533E-02,4.169E-03,1.293E-03,2.080E-02
2.813E+03,4.816E-03,1.795E-02,7.394E-03,1.785E-03,2.712E-02
2.814E+03,4.932E-03,2.135E-02,1.280E-02,2.643E-03,3.679E-02
2.814E+03,5.741E-03,2.189E-02,1.377E-02,2.808E-03,3.847E-02
2.814E+03,6.421E-03,2.250E-02,1.488E-02,3.004E-03,4.039E-02
2.814E+03,7.287E-03,2.318E-02,1.615E-02,3.235E-03,4.257E-02
2.815E+03,6.593E-03,2.384E-02,1.743E-02,3.477E-03,4.475E-02
2.815E+03,9.571E-03,2.449E-02,1.869E-02,3.728E-03,4.691E-02
2.815E+03,8.031E-03,2.520E-02,2.014E-02,4.027E-03,4.937E-02
2.815E+03,1.022E-02,2.596E-02,2.168E-02,4.364E-03,5.200E-02
2.815E+03,8.584E-03,2.679E-02,2.343E-02,4.772E-03,5.499E-02
2.815E+03,1.035E-02,2.762E-02,2.517E-02,5.207E-03,5.800E-02
2.815E+03,1.413E-02,2.848E-02,2.703E-02,5.704E-03,6.121E-02
2.816E+03,1.566E-02,2.932E-02,2.887E-02,6.233E-03,6.442E-02
2.816E+03,1.575E-02,3.027E-02,3.095E-02,6.886E-03,6.810E-02
2.816E+03,1.960E-02,3.127E-02,3.315E-02,7.646E-03,7.206E-02
2.816E+03,2.063E-02,3.231E-02,3.548E-02,8.540E-03,7.634E-02
2.816E+03,2.740E-02,3.349E-02,3.812E-02,9.688E-03,8.130E-02
2.816E+03,2.951E-02,3.467E-02,4.073E-02,1.101E-02,8.641E-02
2.817E+03,3.642E-02,3.591E-02,4.349E-02,1.269E-02,9.209E-02
2.817E+03,4.458E-02,3.723E-02,4.640E-02,1.490E-02,9.853E-02
2.817E+03,5.280E-02,3.863E-02,4.947E-02,1.794E-02,1.060E-01
2.817E+03,6.391E-02,4.013E-02,5.270E-02,2.230E-02,1.151E-01
2.817E+03,7.463E-02,4.173E-02,5.609E-02,2.864E-02,1.265E-01
