Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.778E+03,-2.718E-03,6.908E-05,0.000E+00,5.510E-06,7.459E-05
2.780E+03,2.746E-03,7.523E-05,0.000E+00,6.079E-06,8.130E-05
2.781E+03,4.267E-03,7.873E-05,0.000E+00,6.408E-06,8.514E-05
2.782E+03,-7.645E-03,8.242E-05,0.000E+00,6.758E-06,8.917E-05
2.783E+03,4.914E-03,8.645E-05,0.000E+00,7.145E-06,9.359E-05
2.784E+03,1.405E-03,9.073E-05,0.000E+00,7.562E-06,9.830E-05
2.785E+03,8.675E-04,9.530E-05,0.000E+00,8.012E-06,1.033E-04
2.786E+03,-7.124E-03,1.003E-04,7.818E-19,8.509E-06,1.088E-04
2.787E+03,5.555E-03,1.057E-04,2.346E-18,9.059E-06,1.148E-04
2.788E+03,2.962E-03,1.114E-04,1.798E-17,9.652E-06,1.211E-04
2.789E+03,-1.014E-03,1.178E-04,9.460E-17,1.032E-05,1.281E-04
2.790E+03,-2.556E-03,1.247E-04,4.660E-16,1.105E-05,1.357E-04
2.791E+03,-8.265E-04,1.321E-04,2.235E-15,1.186E-05,1.440E-04
2.792E+03,2.789E-03,1.402E-04,1.017E-14,1.275E-05,1.530E-04
2.793E+03,-3.243E-04,1.492E-04,4.538E-14,1.376E-05,1.629E-04
2.794E+03,-5.111E-04,1.591E-04,1.981E-13,1.491E-05,1.740E-04
2.795E+03,-3.559E-04,1.699E-04,8.226E-13,1.619E-05,1.861E-04
2.796E+03,-1.121E-03,1.817E-04,3.250E-12,1.763E-05,1.994E-04
2.797E+03,1.592E-03,1.950E-04,1.257E-11,1.928E-05,2.143E-04
2.798E+03,-1.230E-03,2.097E-04,4.691E-11,2.118E-05,2.309E-04
2.799E+03,7.390E-04,2.262E-04,1.690E-10,2.338E-05,2.496E-04
2.800E+03,1.666E-03,2.447E-04,5.877E-10,2.593E-05,2.707E-04
2.801E+03,-2.910E-03,2.658E-04,1.997E-09,2.897E-05,2.948E-04
2.802E+03,-4.765E-03,2.894E-04,6.469E-09,3.252E-05,3.220E-04
2.803E+03,-1.347E-03,3.161E-04,2.001E-08,3.673E-05,3.528E-04
2.804E+03,2.708E-03,3.469E-04,6.049E-08,4.186E-05,3.888E-04
2.805E+03,-1.939E-03,3.824E-04,1.766E-07,4.814E-05,4.307E-04
2.806E+03,-8.317E-04,4.236E-04,4.984E-07,5.596E-05,4.801E-04
2.807E+03,1.450E-03,4.718E-04,1.359E-06,6.583E-05,5.390E-04
2.808E+03,2.334E-03,5.292E-04,3.620E-06,7.871E-05,6.116E-04
2.809E+03,6.447E-04,5.970E-04,9.236E-06,9.556E-05,7.018E-04
2.810E+03,-1.596E-03,6.775E-04,2.261E-05,1.182E-04,8.183E-04
2.811E+03,3.254E-03,7.765E-04,5.409E-05,1.502E-04,9.807E-04
2.812E+03,1.318E-04,9.004E-04,1.265E-04,1.977E-04,1.225E-03
2.813E+03,-6.782E-04,1.058E-03,2.818E-04,2.697E-04,1.609E-03
2.814E+03,7.939E-03,1.301E-03,6.185E-04,3.920E-04,2.312E-03
2.814E+03,7.438E-04,1.349E-03,6.880E-04,4.152E-04,2.452E-03
2.814E+03,4.506E-03,1.407E-03,7.705E-04,4.425E-04,2.620E-03
2.814E+03,3.721E-03,1.478E-03,8.689E-04,4.746E-04,2.822E-03
2.815E+03,6.977E-03,1.555E-03,9.717E-04,5.082E-04,3.035E-03
2.815E+03,7.536E-03,1.639E-03,1.078E-03,5.431E-04,3.260E-03
2.815E+03,8.426E-03,1.745E-03,1.204E-03,5.853E-04,3.534E-03
2.815E+03,7.462E-03,1.870E-03,1.344E-03,6.339E-04,3.847E-03
2.815E+03,9.879E-03,2.030E-03,1.509E-03,6.957E-04,4.235E-03
2.815E+03,5.704E-03,2.212E-03,1.682E-03,7.677E-04,4.661E-03
2.815E+03,1.030E-02,2.431E-03,1.873E-03,8.608E-04,5.165E-03
2.816E+03,8.821E-03,2.677E-03,2.069E-03,9.774E-04,5.723E-03
2.816E+03,9.381E-03,2.995E-03,2.300E-03,1.152E-03,6.448E-03
2.816E+03,1.194E-02,3.380E-03,2.556E-03,1.408E-03,7.344E-03
2.816E+03,1.941E-02,3.848E-03,2.837E-03,1.789E-03,8.475E-03
2.816E+03,1.422E-02,4.458E-03,3.169E-03,2.406E-03,1.003E-02
2.816E+03,1.511E-02,5.154E-03,3.513E-03,3.275E-03,1.194E-02
2.817E+03,1.464E-02,5.997E-03,3.891E-03,4.541E-03,1.443E-02
2.817E+03,1.181E-02,7.013E-03,4.306E-03,6.345E-03,1.766E-02
2.817E+03,2.062E-02,8.236E-03,4.762E-03,8.846E-03,2.184E-02
2.817E+03,2.250E-02,9.705E-03,5.262E-03,1.221E-02,2.717E-02
2.817E+03,3.214E-02,1.146E-02,5.810E-03,1.657E-02,3.384E-02
2.817E+03,3.386E-02,1.341E-02,6.367E-03,2.165E-02,4.142E-02
2.817E+03,3.187E-02,1.587E-02,7.019E-03,2.818E-02,5.106E-02
2.818E+03,4.639E-02,1.878E-02,7.730E-03,3.577E-02,6.228E-02
2.818E+03,5.061E-02,2.222E-02,8.507E-03,4.420E-02,7.493E-02
2.818E+03,6.766E-02,2.626E-02,9.354E-03,5.314E-02,8.876E-02
2.818E+03,8.232E-02,3.099E-02,1.028E-02,6.209E-02,1.034E-01
2.818E+03,9.398E-02,3.650E-02,1.128E-02,7.047E-02,1.182E-01
2.818E+03,1.241E-01,4.290E-02,1.237E-02,7.760E-02,1.329E-01
2.818E+03,1.432E-01,5.082E-02,1.364E-02,8.312E-02,1.476E-01
2.819E+03,1.667E-01,5.941E-02,1.493E-02,8.578E-02,1.601E-01
2.819E+03,1.801E-01,6.924E-02,1.633E-02,8.568E-02,1.712E-01
2.819E+03,2.028E-01,8.045E-02,1.784E-02,8.285E-02,1.811E-01
2.819E+03,2.000E-01,9.317E-02,1.947E-02,7.760E-02,1.902E-01
2.819E+03,2.137E-01,1.075E-01,2.124E-02,7.047E-02,1.993E-01
2.819E+03,2.162E-01,1.237E-01,2.314E-02,6.209E-02,2.090E-01
2.820E+03,2.310E-01,1.418E-01,2.519E-02,5.314E-02,2.201E-01
2.820E+03,2.416E-01,1.606E-01,2.724E-02,4.479E-02,2.326E-01
2.820E+03,2.569E-01,1.828E-01,2.960E-02,3.631E-02,2.487E-01
2.820E+03,2.557E-01,2.073E-01,3.213E-02,2.865E-02,2.681E-01
2.820E+03,2.745E-01,2.361E-01,3.503E-02,2.165E-02,2.928E-01
2.820E+03,3.267E-01,2.657E-01,3.795E-02,1.625E-02,3.199E-01
